step,reached_including_bc,reached_excluding_bc,newly_reached_including_bc,newly_reached_excluding_bc,fraction_excluding_bc
1,50,33,33,33,7.993663205168267e-05
2,90,73,40,40,0.0001768295193870556
3,130,113,40,40,0.00027372240672242853
4,178,161,48,48,0.000389993871524876
5,233,216,55,55,0.0005232215916110138
6,289,272,56,56,0.000658871633880536
7,350,333,61,61,0.0008066332870669796
8,420,403,70,70,0.0009761958399038822
9,500,483,80,80,0.001169981614574628
10,588,571,88,88,0.0013831459667124485
11,687,670,99,99,0.0016229558628674966
12,801,784,114,114,0.0018991005917733093
13,926,909,125,125,0.00220189086469635
14,1064,1047,138,138,0.0025361713260033864
15,1214,1197,150,150,0.002899519653511035
16,1377,1360,163,163,0.0032943581694026797
17,1546,1529,169,169,0.0037037306183946303
18,1740,1723,194,194,0.004173661121971189
19,1947,1930,207,207,0.004675081813931743
20,2158,2141,211,211,0.005186191794625836
