step,reached_including_bc,reached_excluding_bc,newly_reached_including_bc,newly_reached_excluding_bc,fraction_excluding_bc
1,12,10,10,10,0.0006165228113440197
2,47,45,35,35,0.0027743526510480886
3,149,147,102,102,0.00906288532675709
4,288,286,139,139,0.017632552404438964
5,465,463,177,177,0.028545006165228114
6,694,692,229,229,0.04266337854500617
7,954,952,260,260,0.05869297163995068
8,1311,1309,357,357,0.08070283600493218
9,1813,1811,502,502,0.11165228113440197
10,2502,2500,689,689,0.15413070283600494
