[01:29:54 - train - INFO] Seed: 0 (rank-adjusted: 0)
[01:30:02 - train - INFO] Optimizer: FusedAdam
[01:30:02 - train - INFO] Loaded fine-tuning weights from /work/m24046/m24046mrcr/Test_Aube_regular/checkpoints/config_transfer_Aube_regular/Seed0 at epoch 1400
[01:30:02 - train - INFO] len(dataloader) = 84
[01:30:02 - train - INFO] Training (pushforward fine-tuning) started...
[01:30:21 - train - INFO] epoch: 1400, p_tf=1.000, lr: 1.000e-04, loss:  4.223e-01, time/epoch: 18.71s
[01:30:21 - train - INFO] Saved model on rank 0
[01:30:39 - train - INFO] epoch: 1401, p_tf=0.980, lr: 1.000e-04, loss:  4.115e-01, time/epoch: 18.71s
[01:30:58 - train - INFO] epoch: 1402, p_tf=0.960, lr: 1.000e-04, loss:  4.115e-01, time/epoch: 18.50s
[01:31:16 - train - INFO] epoch: 1403, p_tf=0.940, lr: 1.000e-04, loss:  4.024e-01, time/epoch: 18.08s
[01:31:34 - train - INFO] epoch: 1404, p_tf=0.920, lr: 1.000e-04, loss:  4.075e-01, time/epoch: 18.56s
[01:31:53 - train - INFO] epoch: 1405, p_tf=0.900, lr: 1.000e-04, loss:  4.004e-01, time/epoch: 18.90s
[01:32:12 - train - INFO] epoch: 1406, p_tf=0.880, lr: 1.000e-04, loss:  4.033e-01, time/epoch: 18.34s
[01:32:31 - train - INFO] epoch: 1407, p_tf=0.860, lr: 1.000e-04, loss:  4.007e-01, time/epoch: 18.97s
[01:32:49 - train - INFO] epoch: 1408, p_tf=0.840, lr: 1.000e-04, loss:  4.119e-01, time/epoch: 18.61s
[01:33:07 - train - INFO] epoch: 1409, p_tf=0.820, lr: 1.000e-04, loss:  4.362e-01, time/epoch: 17.96s
[01:33:26 - train - INFO] epoch: 1410, p_tf=0.800, lr: 9.999e-05, loss:  4.039e-01, time/epoch: 18.55s
[01:33:26 - train - INFO] Saved model on rank 0
[01:33:45 - train - INFO] epoch: 1411, p_tf=0.780, lr: 9.999e-05, loss:  4.204e-01, time/epoch: 19.07s
[01:34:03 - train - INFO] epoch: 1412, p_tf=0.760, lr: 9.999e-05, loss:  4.331e-01, time/epoch: 18.63s
[01:34:22 - train - INFO] epoch: 1413, p_tf=0.740, lr: 9.999e-05, loss:  4.136e-01, time/epoch: 18.48s
[01:34:40 - train - INFO] epoch: 1414, p_tf=0.720, lr: 9.999e-05, loss:  4.129e-01, time/epoch: 17.99s
[01:35:00 - train - INFO] epoch: 1415, p_tf=0.700, lr: 9.999e-05, loss:  4.165e-01, time/epoch: 19.98s
[01:35:18 - train - INFO] epoch: 1416, p_tf=0.680, lr: 9.999e-05, loss:  4.364e-01, time/epoch: 18.15s
[01:35:37 - train - INFO] epoch: 1417, p_tf=0.660, lr: 9.999e-05, loss:  4.081e-01, time/epoch: 18.81s
[01:35:54 - train - INFO] epoch: 1418, p_tf=0.640, lr: 9.999e-05, loss:  4.120e-01, time/epoch: 16.70s
[01:36:13 - train - INFO] epoch: 1419, p_tf=0.620, lr: 9.999e-05, loss:  4.285e-01, time/epoch: 19.11s
[01:36:31 - train - INFO] epoch: 1420, p_tf=0.600, lr: 9.999e-05, loss:  4.107e-01, time/epoch: 18.65s
[01:36:31 - train - INFO] Saved model on rank 0
[01:36:51 - train - INFO] epoch: 1421, p_tf=0.580, lr: 9.999e-05, loss:  4.106e-01, time/epoch: 19.31s
[01:37:09 - train - INFO] epoch: 1422, p_tf=0.560, lr: 9.999e-05, loss:  4.282e-01, time/epoch: 18.10s
[01:37:28 - train - INFO] epoch: 1423, p_tf=0.540, lr: 9.999e-05, loss:  4.358e-01, time/epoch: 19.09s
[01:37:47 - train - INFO] epoch: 1424, p_tf=0.520, lr: 9.999e-05, loss:  4.244e-01, time/epoch: 18.97s
[01:38:05 - train - INFO] epoch: 1425, p_tf=0.500, lr: 9.999e-05, loss:  4.205e-01, time/epoch: 18.04s
[01:38:24 - train - INFO] epoch: 1426, p_tf=0.480, lr: 9.999e-05, loss:  4.200e-01, time/epoch: 19.46s
[01:38:44 - train - INFO] epoch: 1427, p_tf=0.460, lr: 9.999e-05, loss:  4.379e-01, time/epoch: 19.90s
[01:39:02 - train - INFO] epoch: 1428, p_tf=0.440, lr: 9.999e-05, loss:  4.225e-01, time/epoch: 18.03s
[01:39:20 - train - INFO] epoch: 1429, p_tf=0.420, lr: 9.999e-05, loss:  4.216e-01, time/epoch: 17.90s
[01:39:39 - train - INFO] epoch: 1430, p_tf=0.400, lr: 9.998e-05, loss:  4.445e-01, time/epoch: 19.28s
[01:39:39 - train - INFO] Saved model on rank 0
[01:39:59 - train - INFO] epoch: 1431, p_tf=0.380, lr: 9.998e-05, loss:  4.373e-01, time/epoch: 19.63s
[01:40:17 - train - INFO] epoch: 1432, p_tf=0.360, lr: 9.998e-05, loss:  4.357e-01, time/epoch: 18.16s
[01:40:36 - train - INFO] epoch: 1433, p_tf=0.340, lr: 9.998e-05, loss:  4.347e-01, time/epoch: 18.83s
[01:40:54 - train - INFO] epoch: 1434, p_tf=0.320, lr: 9.998e-05, loss:  4.546e-01, time/epoch: 18.45s
[01:41:13 - train - INFO] epoch: 1435, p_tf=0.300, lr: 9.998e-05, loss:  4.520e-01, time/epoch: 18.35s
[01:41:31 - train - INFO] epoch: 1436, p_tf=0.280, lr: 9.998e-05, loss:  4.506e-01, time/epoch: 18.40s
[01:41:50 - train - INFO] epoch: 1437, p_tf=0.260, lr: 9.998e-05, loss:  4.437e-01, time/epoch: 18.53s
[01:42:08 - train - INFO] epoch: 1438, p_tf=0.240, lr: 9.998e-05, loss:  4.209e-01, time/epoch: 18.64s
[01:42:27 - train - INFO] epoch: 1439, p_tf=0.220, lr: 9.998e-05, loss:  4.493e-01, time/epoch: 19.03s
[01:42:46 - train - INFO] epoch: 1440, p_tf=0.200, lr: 9.998e-05, loss:  4.343e-01, time/epoch: 18.92s
[01:42:46 - train - INFO] Saved model on rank 0
[01:43:05 - train - INFO] epoch: 1441, p_tf=0.180, lr: 9.998e-05, loss:  4.543e-01, time/epoch: 18.76s
[01:43:23 - train - INFO] epoch: 1442, p_tf=0.160, lr: 9.998e-05, loss:  4.533e-01, time/epoch: 17.73s
[01:43:42 - train - INFO] epoch: 1443, p_tf=0.140, lr: 9.998e-05, loss:  4.434e-01, time/epoch: 19.62s
[01:44:01 - train - INFO] epoch: 1444, p_tf=0.120, lr: 9.998e-05, loss:  4.425e-01, time/epoch: 18.43s
[01:44:19 - train - INFO] epoch: 1445, p_tf=0.100, lr: 9.998e-05, loss:  4.443e-01, time/epoch: 18.62s
[01:44:40 - train - INFO] epoch: 1446, p_tf=0.080, lr: 9.998e-05, loss:  4.449e-01, time/epoch: 20.24s
[01:44:57 - train - INFO] epoch: 1447, p_tf=0.060, lr: 9.998e-05, loss:  4.493e-01, time/epoch: 17.31s
[01:45:16 - train - INFO] epoch: 1448, p_tf=0.040, lr: 9.998e-05, loss:  4.513e-01, time/epoch: 19.17s
[01:45:35 - train - INFO] epoch: 1449, p_tf=0.020, lr: 9.998e-05, loss:  4.560e-01, time/epoch: 18.62s
[01:45:54 - train - INFO] epoch: 1450, p_tf=0.000, lr: 9.997e-05, loss:  4.480e-01, time/epoch: 18.84s
[01:45:54 - train - INFO] Saved model on rank 0
[01:46:12 - train - INFO] epoch: 1451, p_tf=0.000, lr: 9.997e-05, loss:  4.463e-01, time/epoch: 18.74s
[01:46:31 - train - INFO] epoch: 1452, p_tf=0.000, lr: 9.997e-05, loss:  4.532e-01, time/epoch: 18.39s
[01:46:49 - train - INFO] epoch: 1453, p_tf=0.000, lr: 9.997e-05, loss:  4.501e-01, time/epoch: 18.51s
[01:47:07 - train - INFO] epoch: 1454, p_tf=0.000, lr: 9.997e-05, loss:  4.417e-01, time/epoch: 17.62s
[01:47:24 - train - INFO] epoch: 1455, p_tf=0.000, lr: 9.997e-05, loss:  4.480e-01, time/epoch: 17.01s
[01:47:42 - train - INFO] epoch: 1456, p_tf=0.000, lr: 9.997e-05, loss:  4.520e-01, time/epoch: 18.37s
[01:48:00 - train - INFO] epoch: 1457, p_tf=0.000, lr: 9.997e-05, loss:  4.393e-01, time/epoch: 17.74s
[01:48:20 - train - INFO] epoch: 1458, p_tf=0.000, lr: 9.997e-05, loss:  4.425e-01, time/epoch: 19.81s
[01:48:39 - train - INFO] epoch: 1459, p_tf=0.000, lr: 9.997e-05, loss:  4.429e-01, time/epoch: 19.28s
[01:48:57 - train - INFO] epoch: 1460, p_tf=0.000, lr: 9.997e-05, loss:  4.422e-01, time/epoch: 18.10s
[01:48:57 - train - INFO] Saved model on rank 0
[01:49:15 - train - INFO] epoch: 1461, p_tf=0.000, lr: 9.997e-05, loss:  4.470e-01, time/epoch: 17.73s
[01:49:35 - train - INFO] epoch: 1462, p_tf=0.000, lr: 9.997e-05, loss:  4.504e-01, time/epoch: 19.59s
[01:49:52 - train - INFO] epoch: 1463, p_tf=0.000, lr: 9.997e-05, loss:  4.358e-01, time/epoch: 17.33s
[01:50:10 - train - INFO] epoch: 1464, p_tf=0.000, lr: 9.997e-05, loss:  4.391e-01, time/epoch: 17.73s
[01:50:28 - train - INFO] epoch: 1465, p_tf=0.000, lr: 9.997e-05, loss:  4.394e-01, time/epoch: 18.16s
[01:50:47 - train - INFO] epoch: 1466, p_tf=0.000, lr: 9.997e-05, loss:  4.309e-01, time/epoch: 19.10s
[01:51:06 - train - INFO] epoch: 1467, p_tf=0.000, lr: 9.997e-05, loss:  4.393e-01, time/epoch: 18.74s
[01:51:24 - train - INFO] epoch: 1468, p_tf=0.000, lr: 9.997e-05, loss:  4.314e-01, time/epoch: 18.70s
[01:51:43 - train - INFO] epoch: 1469, p_tf=0.000, lr: 9.997e-05, loss:  4.422e-01, time/epoch: 18.51s
[01:52:03 - train - INFO] epoch: 1470, p_tf=0.000, lr: 9.996e-05, loss:  4.304e-01, time/epoch: 19.79s
[01:52:03 - train - INFO] Saved model on rank 0
[01:52:20 - train - INFO] epoch: 1471, p_tf=0.000, lr: 9.996e-05, loss:  4.346e-01, time/epoch: 17.13s
[01:52:38 - train - INFO] epoch: 1472, p_tf=0.000, lr: 9.996e-05, loss:  4.396e-01, time/epoch: 18.02s
[01:52:56 - train - INFO] epoch: 1473, p_tf=0.000, lr: 9.996e-05, loss:  4.618e-01, time/epoch: 17.95s
[01:53:14 - train - INFO] epoch: 1474, p_tf=0.000, lr: 9.996e-05, loss:  4.395e-01, time/epoch: 18.60s
[01:53:33 - train - INFO] epoch: 1475, p_tf=0.000, lr: 9.996e-05, loss:  4.371e-01, time/epoch: 18.29s
[01:53:51 - train - INFO] epoch: 1476, p_tf=0.000, lr: 9.996e-05, loss:  4.390e-01, time/epoch: 18.41s
[01:54:08 - train - INFO] epoch: 1477, p_tf=0.000, lr: 9.996e-05, loss:  4.381e-01, time/epoch: 17.23s
[01:54:27 - train - INFO] epoch: 1478, p_tf=0.000, lr: 9.996e-05, loss:  4.432e-01, time/epoch: 18.40s
[01:54:45 - train - INFO] epoch: 1479, p_tf=0.000, lr: 9.996e-05, loss:  4.409e-01, time/epoch: 18.28s
[01:55:02 - train - INFO] epoch: 1480, p_tf=0.000, lr: 9.996e-05, loss:  4.470e-01, time/epoch: 17.36s
[01:55:02 - train - INFO] Saved model on rank 0
[01:55:20 - train - INFO] epoch: 1481, p_tf=0.000, lr: 9.996e-05, loss:  4.402e-01, time/epoch: 18.18s
[01:55:37 - train - INFO] epoch: 1482, p_tf=0.000, lr: 9.996e-05, loss:  4.425e-01, time/epoch: 16.20s
[01:55:56 - train - INFO] epoch: 1483, p_tf=0.000, lr: 9.996e-05, loss:  4.419e-01, time/epoch: 18.83s
[01:56:14 - train - INFO] epoch: 1484, p_tf=0.000, lr: 9.996e-05, loss:  4.439e-01, time/epoch: 18.31s
[01:56:33 - train - INFO] epoch: 1485, p_tf=0.000, lr: 9.996e-05, loss:  4.666e-01, time/epoch: 18.75s
[01:56:51 - train - INFO] epoch: 1486, p_tf=0.000, lr: 9.996e-05, loss:  4.453e-01, time/epoch: 18.07s
[01:57:09 - train - INFO] epoch: 1487, p_tf=0.000, lr: 9.996e-05, loss:  4.364e-01, time/epoch: 18.60s
[01:57:27 - train - INFO] epoch: 1488, p_tf=0.000, lr: 9.996e-05, loss:  4.382e-01, time/epoch: 17.79s
[01:57:46 - train - INFO] epoch: 1489, p_tf=0.000, lr: 9.996e-05, loss:  4.351e-01, time/epoch: 19.27s
[01:58:04 - train - INFO] epoch: 1490, p_tf=0.000, lr: 9.995e-05, loss:  4.380e-01, time/epoch: 17.54s
[01:58:04 - train - INFO] Saved model on rank 0
[01:58:23 - train - INFO] epoch: 1491, p_tf=0.000, lr: 9.995e-05, loss:  4.460e-01, time/epoch: 19.06s
[01:58:42 - train - INFO] epoch: 1492, p_tf=0.000, lr: 9.995e-05, loss:  4.337e-01, time/epoch: 18.80s
[01:59:01 - train - INFO] epoch: 1493, p_tf=0.000, lr: 9.995e-05, loss:  4.349e-01, time/epoch: 19.64s
[01:59:20 - train - INFO] epoch: 1494, p_tf=0.000, lr: 9.995e-05, loss:  4.332e-01, time/epoch: 18.63s
[01:59:38 - train - INFO] epoch: 1495, p_tf=0.000, lr: 9.995e-05, loss:  4.427e-01, time/epoch: 18.16s
[01:59:58 - train - INFO] epoch: 1496, p_tf=0.000, lr: 9.995e-05, loss:  4.366e-01, time/epoch: 19.39s
[02:00:16 - train - INFO] epoch: 1497, p_tf=0.000, lr: 9.995e-05, loss:  4.307e-01, time/epoch: 18.26s
[02:00:35 - train - INFO] epoch: 1498, p_tf=0.000, lr: 9.995e-05, loss:  4.325e-01, time/epoch: 18.78s
[02:00:53 - train - INFO] epoch: 1499, p_tf=0.000, lr: 9.995e-05, loss:  4.281e-01, time/epoch: 18.40s
[02:01:11 - train - INFO] epoch: 1500, p_tf=0.000, lr: 9.995e-05, loss:  4.275e-01, time/epoch: 18.52s
[02:01:12 - train - INFO] Saved model on rank 0
[02:01:30 - train - INFO] epoch: 1501, p_tf=0.000, lr: 9.995e-05, loss:  4.420e-01, time/epoch: 18.10s
